sort_stream Taille_M: 2270, nbthreads: 1024, numblocks: 65535, Temps: 981.95404, verif: -1
sort_stream Taille_M: 2280, nbthreads: 1024, numblocks: 65535, Temps: 989.14008, verif: -1
sort_stream Taille_M: 2290, nbthreads: 1024, numblocks: 65535, Temps: 988.07642, verif: -1
sort_stream Taille_M: 2300, nbthreads: 1024, numblocks: 65535, Temps: 993.38086, verif: -1
sort_stream Taille_M: 2310, nbthreads: 1024, numblocks: 65535, Temps: 992.48792, verif: -1
sort_stream Taille_M: 2320, nbthreads: 1024, numblocks: 65535, Temps: 997.16583, verif: -1
sort_stream Taille_M: 2330, nbthreads: 1024, numblocks: 65535, Temps: 998.38074, verif: -1
sort_stream Taille_M: 2340, nbthreads: 1024, numblocks: 65535, Temps: 1010.47925, verif: -1
sort_stream Taille_M: 2350, nbthreads: 1024, numblocks: 65535, Temps: 1012.39374, verif: -1
sort_stream Taille_M: 2360, nbthreads: 1024, numblocks: 65535, Temps: 1016.58038, verif: -1
sort_stream Taille_M: 2370, nbthreads: 1024, numblocks: 65535, Temps: 1026.45056, verif: -1
sort_stream Taille_M: 2380, nbthreads: 1024, numblocks: 65535, Temps: 1032.14038, verif: -1
sort_stream Taille_M: 2390, nbthreads: 1024, numblocks: 65535, Temps: 1017.73456, verif: -1
sort_stream Taille_M: 2400, nbthreads: 1024, numblocks: 65535, Temps: 1039.45825, verif: -1
sort_stream Taille_M: 2410, nbthreads: 1024, numblocks: 65535, Temps: 1047.76685, verif: -1
sort_stream Taille_M: 2420, nbthreads: 1024, numblocks: 65535, Temps: 1125.26526, verif: -1
sort_stream Taille_M: 2430, nbthreads: 1024, numblocks: 65535, Temps: 1146.59192, verif: -1
sort_stream Taille_M: 2440, nbthreads: 1024, numblocks: 65535, Temps: 1047.90588, verif: -1
sort_stream Taille_M: 2450, nbthreads: 1024, numblocks: 65535, Temps: 1049.03333, verif: -1
sort_stream Taille_M: 2460, nbthreads: 1024, numblocks: 65535, Temps: 1045.91919, verif: -1
sort_stream Taille_M: 2470, nbthreads: 1024, numblocks: 65535, Temps: 1061.24890, verif: -1
sort_stream Taille_M: 2480, nbthreads: 1024, numblocks: 65535, Temps: 1062.90417, verif: -1
sort_stream Taille_M: 2490, nbthreads: 1024, numblocks: 65535, Temps: 1056.64294, verif: -1
sort_stream Taille_M: 2500, nbthreads: 1024, numblocks: 65535, Temps: 1058.05713, verif: -1
sort_stream Taille_M: 2510, nbthreads: 1024, numblocks: 65535, Temps: 1063.49866, verif: -1
sort_stream Taille_M: 2520, nbthreads: 1024, numblocks: 65535, Temps: 1065.62439, verif: -1
sort_stream Taille_M: 2530, nbthreads: 1024, numblocks: 65535, Temps: 1071.07617, verif: -1
sort_stream Taille_M: 2540, nbthreads: 1024, numblocks: 65535, Temps: 1167.55518, verif: -1
sort_stream Taille_M: 2550, nbthreads: 1024, numblocks: 65535, Temps: 1172.75476, verif: -1
sort_stream Taille_M: 2560, nbthreads: 1024, numblocks: 65535, Temps: 1076.57397, verif: -1
sort_stream Taille_M: 2570, nbthreads: 1024, numblocks: 65535, Temps: 1085.44543, verif: -1
sort_stream Taille_M: 2580, nbthreads: 1024, numblocks: 65535, Temps: 1095.60181, verif: -1
sort_stream Taille_M: 2590, nbthreads: 1024, numblocks: 65535, Temps: 1100.29675, verif: -1
sort_stream Taille_M: 2600, nbthreads: 1024, numblocks: 65535, Temps: 1190.20496, verif: -1
sort_stream Taille_M: 2610, nbthreads: 1024, numblocks: 65535, Temps: 1101.56909, verif: -1
sort_stream Taille_M: 2620, nbthreads: 1024, numblocks: 65535, Temps: 1117.49060, verif: -1
sort_stream Taille_M: 2630, nbthreads: 1024, numblocks: 65535, Temps: 1115.81091, verif: -1
sort_stream Taille_M: 2640, nbthreads: 1024, numblocks: 65535, Temps: 1111.90527, verif: -1
sort_stream Taille_M: 2650, nbthreads: 1024, numblocks: 65535, Temps: 1215.69153, verif: -1
sort_stream Taille_M: 2660, nbthreads: 1024, numblocks: 65535, Temps: 1115.49573, verif: -1
sort_stream Taille_M: 2670, nbthreads: 1024, numblocks: 65535, Temps: 1113.58203, verif: -1
sort_stream Taille_M: 2680, nbthreads: 1024, numblocks: 65535, Temps: 1225.49512, verif: -1
sort_stream Taille_M: 2690, nbthreads: 1024, numblocks: 65535, Temps: 1130.87048, verif: -1
sort_stream Taille_M: 2700, nbthreads: 1024, numblocks: 65535, Temps: 1128.00818, verif: -1
sort_stream Taille_M: 2710, nbthreads: 1024, numblocks: 65535, Temps: 1133.70129, verif: -1
sort_stream Taille_M: 2720, nbthreads: 1024, numblocks: 65535, Temps: 1129.85388, verif: -1
sort_stream Taille_M: 2730, nbthreads: 1024, numblocks: 65535, Temps: 1143.66602, verif: -1
sort_stream Taille_M: 2740, nbthreads: 1024, numblocks: 65535, Temps: 1140.97095, verif: -1
sort_stream Taille_M: 2750, nbthreads: 1024, numblocks: 65535, Temps: 1147.47339, verif: -1
sort_stream Taille_M: 2760, nbthreads: 1024, numblocks: 65535, Temps: 1173.46729, verif: -1
sort_stream Taille_M: 2770, nbthreads: 1024, numblocks: 65535, Temps: 1164.26331, verif: -1
sort_stream Taille_M: 2780, nbthreads: 1024, numblocks: 65535, Temps: 1161.97607, verif: -1
sort_stream Taille_M: 2790, nbthreads: 1024, numblocks: 65535, Temps: 1175.85327, verif: -1
sort_stream Taille_M: 2800, nbthreads: 1024, numblocks: 65535, Temps: 1173.12415, verif: -1
