sort Taille_M: 2780, nbthreads: 1024, numblocks: 65535, Temps: 1311.28455, verif: -1
sort Taille_M: 2790, nbthreads: 1024, numblocks: 65535, Temps: 1295.94116, verif: -1
sort Taille_M: 2800, nbthreads: 1024, numblocks: 65535, Temps: 1314.73291, verif: -1
sort Taille_M: 2810, nbthreads: 1024, numblocks: 65535, Temps: 1312.78735, verif: -1
sort Taille_M: 2820, nbthreads: 1024, numblocks: 65535, Temps: 1320.04968, verif: -1
sort Taille_M: 2830, nbthreads: 1024, numblocks: 65535, Temps: 1224.24243, verif: -1
sort Taille_M: 2840, nbthreads: 1024, numblocks: 65535, Temps: 1313.02722, verif: -1
sort Taille_M: 2850, nbthreads: 1024, numblocks: 65535, Temps: 1320.95093, verif: -1
sort Taille_M: 2860, nbthreads: 1024, numblocks: 65535, Temps: 1325.55237, verif: -1
sort Taille_M: 2870, nbthreads: 1024, numblocks: 65535, Temps: 1340.57007, verif: -1
sort Taille_M: 2880, nbthreads: 1024, numblocks: 65535, Temps: 1332.33875, verif: -1
sort Taille_M: 2890, nbthreads: 1024, numblocks: 65535, Temps: 1332.77563, verif: -1
sort Taille_M: 2900, nbthreads: 1024, numblocks: 65535, Temps: 1352.82825, verif: -1
sort Taille_M: 2910, nbthreads: 1024, numblocks: 65535, Temps: 1356.74951, verif: -1
sort Taille_M: 2920, nbthreads: 1024, numblocks: 65535, Temps: 1351.20837, verif: -1
sort Taille_M: 2930, nbthreads: 1024, numblocks: 65535, Temps: 1349.45703, verif: -1
sort Taille_M: 2940, nbthreads: 1024, numblocks: 65535, Temps: 1356.94165, verif: -1
sort Taille_M: 2950, nbthreads: 1024, numblocks: 65535, Temps: 1358.31494, verif: -1
sort Taille_M: 2960, nbthreads: 1024, numblocks: 65535, Temps: 1380.46606, verif: -1
